id,english,part_of_speech,level,translation_fr,family
1.0,a,indefinite article,A1,un/une,grammar_function_words
2.0,abandon,verb,B2,abandonner,actions_general
3.0,ability,noun,A2,capacité,general
4.0,able,adjective,A2,capable,descriptions_general
5.0,abolish,verb,C1,abolir,actions_general
6.0,abortion,noun,C1,avortement,general
7.0,about,"adverb, preposition",A1,environ / à propos,descriptions_general
8.0,above,"adverb, preposition",A1,au-dessus,descriptions_general
9.0,abroad,adverb,A2,à l’étranger,descriptions_general
10.0,absence,noun,C1,absence,general
11.0,absent,adjective,C1,absent,descriptions_general
12.0,absolute,adjective,B2,absolu,descriptions_general
13.0,absolutely,adverb,B1,totalement,descriptions_general
14.0,absorb,verb,B2,absorber,actions_general
15.0,abstract,adjective,B2,abstrait,descriptions_general
16.0,absurd,adjective,C1,absurde,descriptions_general
17.0,abundance,noun,C1,profusion,general
18.0,abuse,"noun, verb",C1,abus,actions_general
19.0,academic,"adjective, noun",B1,académique,education_academic
20.0,academy,noun,C1,académie,education_academic
21.0,accelerate,verb,C1,accélérer,actions_general
22.0,accent,noun,B2,accent,general
23.0,accept,verb,A2,accepter,actions_general
24.0,acceptable,adjective,B2,acceptable,descriptions_general
25.0,acceptance,noun,C1,acceptation,general
26.0,access,"noun, verb",B1,accès,actions_general
27.0,accessible,adjective,C1,accessible,descriptions_general
28.0,accident,noun,A2,accident,general
29.0,accidentally,adverb,B2,accidentellement,descriptions_general
30.0,accommodate,verb,B2,accommoder,actions_general
31.0,accommodation,noun,B1,logement,general
32.0,accompany,verb,B2,accompagner,actions_general
33.0,accomplish,verb,B2,accomplir,actions_general
34.0,accomplishment,noun,C1,accomplissement,general
35.0,accordance,noun,C1,accordance,general
36.0,according to,preposition,A2,selon,grammar_function_words
37.0,accordingly,adverb,C1,en conséquence,descriptions_general
38.0,account,"noun, verb",B1,compte,actions_general
39.0,accountability,noun,C1,responsabilisation,general
40.0,accountable,adjective,C1,redevable,descriptions_general
41.0,accountant,noun,B2,comptable,general
42.0,accounting,noun,,compte,general
43.0,accumulate,verb,C1,accumuler,actions_general
44.0,accumulation,noun,C1,accumulation,general
45.0,accuracy,noun,B2,précision,general
46.0,accurate,adjective,B2,précis,descriptions_general
47.0,accurately,adverb,B2,précisément,descriptions_general
48.0,accusation,noun,C1,accusation,general
49.0,accuse,verb,B2,accuser,actions_general
50.0,accused,noun,C1,,general
51.0,achieve,verb,A2,réaliser,actions_general
52.0,achievement,noun,B1,succès,general
53.0,acid,"adjective, noun",B2,acide,descriptions_general
54.0,acknowledge,verb,B2,reconnaître,actions_general
55.0,acquire,verb,B2,acquérir,actions_general
56.0,acquisition,noun,C1,obtention,general
57.0,acre,noun,C1,acre,general
58.0,across,"adverb, preposition",A1,à travers / de l'autre côté,descriptions_general
59.0,act,"noun, verb",A2,agir / acte,actions_general
60.0,action,noun,A1,action,general
61.0,activate,verb,B2,actionner,actions_general
62.0,activation,noun,C1,activation,general
63.0,active,adjective,A2,actif,descriptions_general
64.0,activist,noun,C1,activiste,general
65.0,activity,noun,A1,activité,general
66.0,actor,noun,A1,comédien,arts_media_sport
67.0,actress,noun,A1,actrice,arts_media_sport
68.0,actual,adjective,B2,réel,descriptions_general
